"","site","beaver_territory","A_floodplain_km2","A_beaver_km2","date","time","season","DOC_input","DOC_out","delta_DOC","D_beaver_km2","D_catchment_km2"
"161","MO03",150,1.52783281863057,0.01592915,"2022-04-30","13:30:00","winter",2.093,2.306,0.213,13.3717116104751,1.83462481353974
"162","MS03",11,1.52158234256997,0.04046804,"2022-07-04","16:30:00","summer",3.554,3.44,-0.114,-2.81703784023145,1.15274734132198
"163","MS03",11,1.52158234256997,0.04046804,"2022-02-23","14:00:00","winter",1.8,1.93,0.13,3.21241157219376,1.15274734132198
"164","MUE01",143,1.21946756867105,0.00054745,"2022-07-05","15:00:00","summer",5.24852955290138,4.61514196173766,-0.633387591163725,-1156.97797271664,3.32237581136877
"165","MUE01",143,1.21946756867105,0.00054745,"2022-04-18","16:10:00","winter",1.197,1.135,-0.062,-113.252351812951,3.32237581136877
"166","MUE01_3",77,0.219007344610273,0.01119158,"2022-07-20","14:15:00","summer",0.8344,1.987,1.1526,102.988139297579,-0.346107114055409
"167","MUE01_3",77,0.219007344610273,0.01119158,"2022-03-14","15:30:00","winter",0.9102,0.8913,-0.0189,-1.68876959285463,-0.346107114055409
"168","MUE01_6",76,0.414631030843883,0.01474185,"2022-07-20","13:00:00","summer",0.8494,0.8156,-0.0338,-2.29279228862049,-0.384920539292903
"169","MUE01_6",76,0.414631030843883,0.01474185,"2022-03-14","16:30:00","winter",1.009,1.138,0.129,8.75059778793028,-0.384920539292903
"170","MUE02",75,0.240510732783058,0.00992913,"2022-07-20","12:30:00","summer",0.7592,0.8152,0.056,5.63997047072604,-0.869399870768384
"171","MUE02",75,0.240510732783058,0.00992913,"2022-03-15","08:30:00","winter",0.9683,0.9145,-0.0538000000000001,-5.41840020223324,-0.869399870768384
"172","MUE03",74,16.1381361929632,0.0109194,"2022-07-20","11:45:00","summer",1.586,0.835,-0.751,-68.7766727109548,-0.0430656918302031
"173","MUE03",74,16.1381361929632,0.0109194,"2022-03-15","10:30:00","winter",2.281,2.25,-0.0310000000000001,-2.83898382695021,-0.0430656918302031
"174","MUE03_B",144,0.762716399704237,0.00083825,"2022-07-05","13:50:00","summer",3.61350577106014,4.07013403445724,0.456628263397103,544.739950369345,3.48557572918459
"175","MUE03_B",144,0.762716399704237,0.00083825,"2022-04-18","15:24:00","winter",0.955,1.093,0.138,164.628690724724,3.48557572918459
"176","MUE05_1",73,4.23190457534977,0.10678293,"2022-07-20","10:15:00","summer",1.887,0.72,-1.167,-10.928713044304,-0.0231574219728006
"177","MUE05_1",73,4.23190457534977,0.10678293,"2022-03-15","13:00:00","winter",1.985,1.67,-0.315,-2.9499096906219,-0.0231574219728006
"178","MUE05_14",72,0.156295897109631,0.0312838,"2022-07-20","09:30:00","summer",0.6084,0.667,0.0586,1.87317397502861,-5.8005361418034
"179","MUE05_14",72,0.156295897109631,0.0312838,"2022-03-15","15:30:00","winter",1.515,1.784,0.269,8.59869964646239,-5.8005361418034
"180","MUE05_17",71,4.40965982740308,0.04279341,"2022-07-20","09:00:00","summer",0.6209,1.506,0.8851,20.6830911581947,-0.348802415651597
"181","MUE05_17",71,4.40965982740308,0.04279341,"2022-03-15","16:30:00","winter",2.159,1.984,-0.175,-4.08941470193658,-0.348802415651597
"182","MUH01",9,0.583564842508261,9.388e-05,"2022-07-04","14:15:00","summer",3.743,5.438,1.695,18054.9637835535,1.76158658835834
"183","MUH01",9,0.583564842508261,9.388e-05,"2022-02-20","13:22:00","winter",2.715,2.326,-0.389,-4143.58755858543,1.76158658835834
"184","NAB01",8,2.24672065429957,0.02541065,"2022-07-04","12:15:00","summer",5.222,5.511,0.289,11.3731840783294,1.24136482862819
"185","NAB01",8,2.24672065429957,0.02541065,"2022-01-07","12:00:00","winter",2.433,2.169,-0.264,-10.3893446251867,1.24136482862819
"186","NB01",61,23.1438239745905,0.00259061,"2022-07-15","15:00:00","summer",2.211,2.247,0.036,13.8963410162085,0.00155549057232393
